"en","nl"
"Change language","Change de langue"
"Interviewer","Enquêteur·rice"
"Data","Données"
"List of directories","Liste des répertoires"
"Loading...","Chargement..."
"List of databases","Liste des bases de données"
"Database filtering","Filtre sur la base de données"
"Domain","Domaine"
"Zone","Zone"
"Parameters","Paramètres"
"Compare with","Comparer avec"
"Sensibility (sd)","Sensibilité (ec_type)"
"N valid (not missing) minimum","N valides (non missing)"
"Summary","Synthèse"
"Graphics","Graphiques"
"Changed Variables","Variables changées"
"Dis/Appeared Variables","Variables dis/apparues"
"Sensibility","Sensibilité"
"N rows","N rows"
"N valid (not missing)","N valid"
"Choose of rows and columns","Choix des lignes et colonnes"
"All","Tout"
"Risky rows","Lignes à risque"
"Risky columns","Colonnes à risque"
"Risky data","Données à risque"
"Table","Tableau"
"Heatmap","Heatmap"
"Anomalies by Variables and Interviewer","Anomalies par variable et enquêteur"
"Ranking of Interviewer","Classement des enquêteurs"
"Listing of variables","Liste des variables"
"Missings?","Missings ?"
"Yes","Oui"
"No","Non"
"Show Distributions","Afficher distributions"
"Variables to show","Variables à afficher"
"Choice","Choix"
"Micro Data","Micro données"
